LSOA Code,WIMD 2019 
W01001299,56
W01001300,106
W01001301,164
W01001302,385
W01001303,34
W01001304,967
W01001305,731
W01001306,1128
W01001307,153
W01001308,7
W01001309,258
W01001310,1012
W01001311,688
W01001312,428
W01001313,596
W01001314,706
W01001315,337
W01001316,1343
W01001317,457
W01001318,948
W01001319,1662
W01001320,777
W01001321,585
W01001322,552
W01001324,1051
W01001325,349
W01001326,177
W01001327,1032
W01001328,718
W01001329,720
W01001330,713
W01001331,633
W01001332,340
W01001333,358
W01001334,213
W01001335,710
W01001336,538
W01001337,704
W01001338,456
W01001339,29
W01001340,1652
W01001341,293
W01001342,1665
W01001343,1638
W01001344,1054
W01001345,43
W01001346,826
W01001347,1009
W01001348,394
W01001349,1731
W01001350,945
W01001351,1682
W01001352,367
W01001353,420
W01001354,1275
W01001355,654
W01001356,1448
W01001357,1558
W01001358,251
W01001359,929
W01001360,832
W01001361,137
W01001362,482
W01001363,619
W01001364,123
W01001365,677
W01001366,1138
W01001367,987
W01001368,453
W01001369,1101
W01001370,1075
W01001371,237
W01001372,1169
W01001373,926
W01001374,391
W01001375,228
W01001376,67
W01001377,1134
W01001378,544
W01001379,1390
W01001380,1242
W01001381,214
W01001382,1110
W01001383,798
W01001384,578
W01001385,246
W01001386,59
W01001387,472
W01001388,405
W01001389,918
W01001390,1733
W01001391,947
W01001392,1519
W01001393,407
W01001394,1833
W01001395,536
W01001396,242
W01001397,1374
W01001398,1675
W01001399,1340
W01001400,90
W01001401,664
W01001402,423
W01001403,1007
W01001404,1713
W01001405,715
W01001406,315
W01001407,1225
W01001408,447
W01001409,1387
W01001410,566
W01001411,844
W01001412,922
W01001413,635
W01001414,280
W01001415,729
W01001416,1008
W01001417,1565
W01001418,325
W01001419,1172
W01001420,1496
W01001421,3
W01001422,113
W01001423,1552
W01001424,739
W01001425,1393
W01001426,1697
W01001427,1878
W01001428,8
W01001429,473
W01001430,887
W01001431,1083
W01001432,1292
W01001433,659
W01001434,1576
W01001435,497
W01001436,274
W01001437,963
W01001438,597
W01001439,1176
W01001440,595
W01001441,235
W01001442,1462
W01001443,303
W01001444,495
W01001445,716
W01001446,942
W01001447,282
W01001448,565
W01001449,537
W01001450,687
W01001451,312
W01001452,1156
W01001453,160
W01001454,387
W01001455,520
W01001456,365
W01001457,86
W01001458,951
W01001459,130
W01001460,532
W01001461,440
W01001462,825
W01001463,1183
W01001464,215
W01001465,239
W01001466,250
W01001467,249
W01001468,376
W01001469,138
W01001470,1103
W01001471,211
W01001472,1089
W01001473,53
W01001474,437
W01001475,799
W01001476,227
W01001477,757
W01001478,867
W01001479,35
W01001480,217
W01001481,203
W01001482,311
W01001483,197
W01001484,1048
W01001485,285
W01001486,837
W01001487,626
W01001488,252
W01001489,462
W01001490,898
W01001491,375
W01001492,1238
W01001493,795
W01001494,1551
W01001495,1376
W01001496,208
W01001497,511
W01001498,371
W01001499,1306
W01001500,1743
W01001501,264
W01001502,1597
W01001503,271
W01001504,970
W01001505,1383
W01001506,206
W01001507,1282
W01001508,1534
W01001509,1821
W01001510,1175
W01001511,1081
W01001512,1848
W01001513,1748
W01001514,1562
W01001515,1239
W01001516,504
W01001517,1658
W01001518,1659
W01001519,93
W01001520,975
W01001521,788
W01001522,603
W01001523,661
W01001524,505
